date,sleep_hours,bedtime_hour,wake_time_hour,time_available_today,strength_workout_yesterday,cardio_workout_yesterday,cardio_duration,rest_yesterday,soreness 1_5,stress_1_5,energy_level_1_5,motivation_1_5,sickness_level_0_3,workday_today,injured,actual_performed_today,recommendation
10/5/2025,10.5,0:00,10:30,120,yes,no,0:00,no,2,2,5,3,0,yes,no,strength,cardio
10/6/2025,9.67,0:20,10:00,180,yes,no,0:00,no,1,2,5,3,0,yes,no,cardio,cardio
10/7/2025,10.83,0:10,11:00,240,no,yes,0:37,no,1,1,5,1,0,yes,no,rest,strength
10/8/2025,10.58,23:45,10:20,120,no,no,0:00,yes,1,2,5,4,0,yes,no,cardio,cardio
10/9/2025,10,0:00,10:00,240,no,yes,0:40,no,1,1,5,3,0,yes,no,strength,cardio
10/10/2025,9,0:00,9:00,60,yes,no,0:00,no,1,3,5,4,0,yes,no,cardio,cardio
10/11/2025,10,0:30,10:30,120,no,yes,0:40,no,1,4,3,1,0,no,no,rest,rest
10/12/2025,10.5,0:30,11:00,240,no,no,0:00,yes,1,1,5,2,1,yes,no,strength,cardio
10/13/2025,10,0:30,10:30,60,yes,no,0:00,no,1,4,4,2,1,yes,no,cardio,cardio
10/14/2025,9.3,0:40,10:00,60,no,yes,0:40,no,2,1,5,1,0,yes,no,rest,rest
10/15/2025,9.3,0:10,9:30,300,no,no,0:00,no,1,1,5,5,0,yes,no,cardio,cardio
10/16/2025,10.25,0:00,10:15,180,no,yes,0:36,no,2,1,5,1,0,yes,no,strength,strength
10/17/2025,9.75,0:15,10:00,120,yes,no,0:00,no,2,1,5,3,0,yes,no,cardio,cardio
10/18/2025,8.5,0:00,8:30,300,no,yes,0:40,no,1,2,4,1,0,no,no,rest,rest
10/19/2025,9.5,0:30,10:00,300,no,no,0:00,yes,1,1,5,1,0,no,no,strength,strength
10/20/2025,9.5,0:00,9:30,90,yes,no,0:00,no,1,3,5,2,0,yes,no,cardio,cardio
10/21/2025,9.5,0:30,10:00,120,no,yes,0:40,no,2,1,5,1,0,yes,no,rest,rest
10/22/2025,8.5,1:00,9:30,120,no,no,0:00,yes,1,3,4,2,0,yes,no,cardio,strength
10/23/2025,9.5,0:30,10:00,60,no,yes,0:40,no,1,2,4,1,0,yes,no,strength,rest
10/24/2025,9,0:30,9:30,300,yes,no,0:00,no,2,1,4,3,0,no,no,cardio,cardio
10/25/2025,9.5,0:30,10:00,300,no,yes,0:40,no,1,2,5,2,0,no,no,rest,rest
10/26/2025,9,1:00,10:00,300,no,no,0:00,yes,1,3,5,1,0,no,no,strength,strength
10/27/2025,9.5,0:30,10:00,60,yes,no,0:00,no,1,5,3,1,0,no,no,cardio,rest
10/28/2025,10,0:00,10:00,60,no,yes,0:40,no,1,5,4,1,0,yes,no,rest,rest
10/29/2025,9,0:15,9:15,0,no,no,0:00,yes,1,5,3,1,0,yes,no,rest',rest
10/30/2025,8.5,1:00,9:30,0,no,no,0:00,yes,1,3,4,1,0,yes,no,rest,rest
10/31/2025,9.5,0:30,10:00,60,no,no,0:00,yes,1,1,5,1,0,no,no,rest,strength
11/1/2025,9.5,0:30,10:00,90,no,no,0:00,yes,1,2,5,1,0,no,no,rest,strength
11/2/2025,10.5,0:00,10:30,120,no,no,0:00,yes,1,1,5,1,0,yes,no,strength',strength
